sample,geojson,ome_tiff
OnoTRM_265_3,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/OnoTRM_265_3.ome.tif
OnoTRM_266_1,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/OnoTRM_266_1.ome.tif
OnoTRM_271_2,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/OnoTRM_271_2.ome.tif
OnoTRM_271_3,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/OnoTRM_271_3.ome.tif
OnoTRM_272_3,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/OnoTRM_272_3.ome.tif
OnoTRTM_265_2,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/OnoTRTM_265_2.ome.tif
TRMhi_283_2,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/TRMhi_283_2.ome.tif
TRMhi_283_3,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/TRMhi_283_3.ome.tif
TRMhi_284_1,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/TRMhi_284_1.ome.tif
TRMhi_284_4,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/TRMhi_284_4.ome.tif
TRMhi_286_1,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/TRMhi_286_1.ome.tif
TRMhi_286_4,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/TRMhi_286_4.ome.tif
TRMhi_287_1,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/TRMhi_287_1.ome.tif
TRMhi_287_2,,/vast/projects/Marina_imageregistration/TRMscreen_COMET/Qupath_projects/exported_rois/TRMhi_287_2.ome.tif
